,Feature Name,m/z,Retention Time
236,279.28_536.5025m/z,536.5024546,4.65471673
237,490.44_537.4409m/z,537.4408967,8.174041745
238,518.16_537.4412m/z,537.4412166,8.63599968
239,629.45_537.4858m/z,537.4858288,10.4907751
240,645.95_537.487m/z,537.4870091,10.7657671
241,518.26_538.4447m/z,538.4447072,8.63770008
242,490.33_538.45m/z,538.4499526,8.17220831
243,265.79_538.4822m/z,538.4821914,4.42988348
244,645.86_538.4901m/z,538.49009,10.76430845
245,502.02_540.4681m/z,540.4680503,8.36706638
246,315.34_540.4981m/z,540.49807,5.25570011
247,501.9_541.4718m/z,541.4717664,8.36503315
248,315.34_541.5009m/z,541.5009241,5.255691765
249,102.03_542.3214m/z,542.3213878,1.70053339
250,84.41_542.3239m/z,542.3238912,1.40683329
251,523.11_542.4839m/z,542.4839212,8.71856689
252,84.42_543.3269m/z,543.3269146,1.407041665
253,523.11_543.4873m/z,543.4872512,8.71850014
254,123.87_544.3369m/z,544.3368802,2.0644834
255,101.82_544.3399m/z,544.3399472,1.696925045
256,326.84_544.5078m/z,544.5078183,5.44735003
257,101.83_545.343m/z,545.3429587,1.69721663
258,604.99_545.4554m/z,545.4553633,10.0832415
259,101.87_546.3452m/z,546.3452191,1.69784999
260,148.12_546.3528m/z,546.3527992,2.46871662
261,113.38_546.3554m/z,546.3554058,1.88964999
262,148.13_547.3558m/z,547.3558392,2.4688499
263,113.37_547.3585m/z,547.3584722,1.88943338
264,604.98_547.4712m/z,547.4711701,10.0830336
265,622.55_547.4718m/z,547.4717758,10.3758831
266,130.94_548.3703m/z,548.3702901,2.18239999
267,622.52_548.4748m/z,548.4747891,10.3753004
268,605.05_548.4743m/z,548.4743497,10.08412505
269,326.11_548.5388m/z,548.5388085,5.43508339
270,438.8_548.5394m/z,548.5393579,7.31341648
271,230.94_549.4075m/z,549.407488,3.84891677
272,639.33_549.4876m/z,549.4876406,10.6555662
273,432.38_549.4872m/z,549.4872045,7.20633316
274,294.8_549.4867m/z,549.4866741,4.91330004
275,98.35_550.3284m/z,550.3283664,1.63923335
276,154.08_550.3861m/z,550.3860885,2.56800008
277,229.34_550.4155m/z,550.4154795,3.8223834
278,351.46_550.416m/z,550.4160313,5.85768318
279,622.6_550.4902m/z,550.490247,10.376667
280,639.23_550.4909m/z,550.4909096,10.6539001
281,404.95_550.5554m/z,550.5554113,6.74910021
282,351.42_551.4211m/z,551.4210899,5.8569665
283,259.42_551.4232m/z,551.4232409,4.32364988
284,229.28_551.4239m/z,551.4239491,3.821408275
285,623.28_551.4996m/z,551.4996478,10.3880248
286,654.62_551.5029m/z,551.5029014,10.9103498
287,639.19_551.5016m/z,551.5016453,10.6531501
288,462.54_551.5027m/z,551.5027401,7.70903349
289,404.88_551.5585m/z,551.5584777,6.7480669
290,185.07_552.4016m/z,552.4015552,3.08443332
291,351.37_552.4255m/z,552.4254625,5.85611677
292,229.24_552.4273m/z,552.4272812,3.8206501
293,639.27_552.5054m/z,552.5054492,10.65457485
294,654.77_552.5066m/z,552.5066274,10.9128332
295,624.89_552.5048m/z,552.5048015,10.4147663
296,229.19_553.4302m/z,553.4302245,3.81990004
297,371.9_553.4363m/z,553.4362645,6.198283195
298,654.77_553.509m/z,553.5090146,10.912817
299,639.18_553.5083m/z,553.5083085,10.6529584
300,223.27_557.4548m/z,557.4547843,3.72113323
301,102.01_558.2951m/z,558.2950504,1.70021671
302,433.05_558.5601m/z,558.5600589,7.21753311
303,631.99_561.4869m/z,561.4869207,10.5332499
304,279.56_561.4856m/z,561.4856474,4.659324885
305,148.13_562.3265m/z,562.3264598,2.4688499
306,414.55_562.5551m/z,562.5550505,6.90913343
307,647.85_563.5032m/z,563.5031646,10.7974663
308,632.07_563.502m/z,563.5019987,10.5344334
309,414.71_563.5584m/z,563.5584129,6.9118166
310,647.82_564.5062m/z,564.5061868,10.7969332
311,632.01_564.5054m/z,564.5054436,10.5334501
312,647.46_565.5143m/z,565.5143128,10.79101705
313,662.57_565.5182m/z,565.5182475,11.0428333
314,231.13_566.4108m/z,566.4108109,3.85220003
315,662.5_566.5214m/z,566.5213534,11.0417004
316,230.79_567.4156m/z,567.4155607,3.84645009
317,98.35_568.3398m/z,568.339763,1.63913333
318,229.1_568.4265m/z,568.4264699,3.81828332
319,263.76_568.426m/z,568.4260431,4.39594984
320,98.36_569.3427m/z,569.3426903,1.639358345
321,229.1_569.4302m/z,569.4302199,3.81828332
322,263.74_569.4301m/z,569.4301396,4.39568329
323,107.09_570.3549m/z,570.3549266,1.78481662
324,274.5_570.4422m/z,570.4422218,4.57503319
325,314.86_570.4423m/z,570.4423123,5.24770021
326,274.53_571.446m/z,571.446013,4.57556677
327,609.3_571.4704m/z,571.4704432,10.1550503
328,608.25_573.4867m/z,573.4866602,10.1375504
329,625.62_573.4875m/z,573.4875136,10.4269667
330,625.63_574.4906m/z,574.4905657,10.427125
331,608.42_574.49m/z,574.4900403,10.1403999
332,624.8_575.5031m/z,575.5031088,10.4133167
333,604.0_575.5021m/z,575.502133,10.0667415
334,377.06_575.5029m/z,575.5028544,6.28431654
335,440.39_575.503m/z,575.5030403,7.33984184
336,304.0_575.5029m/z,575.5029302,5.06668329
337,656.82_575.503m/z,575.5030032,10.9470329
338,641.08_575.5037m/z,575.5037123,10.6846333
339,640.98_575.8718m/z,575.8717854,10.6829996
340,440.31_576.5m/z,576.4999996,7.33850837
341,641.05_576.5067m/z,576.5066661,10.6841335
342,377.37_576.5062m/z,576.5062488,6.28946662
343,304.0_576.5059m/z,576.505884,5.06668329
344,402.55_576.5615m/z,576.5615419,6.70913315
345,477.94_576.5707m/z,576.5706718,7.965658425
346,217.38_577.4813m/z,577.4812547,3.62303329
347,620.66_577.5172m/z,577.5171987,10.3443336
348,641.14_577.5184m/z,577.518438,10.68562505
349,656.53_577.5192m/z,577.5191922,10.9421835
350,671.28_577.5189m/z,577.518884,11.18797495
351,469.04_577.5189m/z,577.5189298,7.81728315
352,334.29_577.5186m/z,577.5186061,5.57158327
353,620.98_578.5211m/z,578.5210536,10.349617
354,641.13_578.522m/z,578.5219894,10.6854248
355,656.52_578.5222m/z,578.5221585,10.9419918
356,469.01_578.5221m/z,578.5220521,7.816808465
357,334.23_578.5217m/z,578.5216765,5.57051659
358,671.2_578.5221m/z,578.5220834,11.18670845
359,408.29_578.522m/z,578.5219686,6.804766655
360,433.25_578.5771m/z,578.5771163,7.22084999
361,627.09_579.5246m/z,579.5245822,10.4515667
362,656.49_579.5261m/z,579.5261082,10.9415169
363,641.15_579.5253m/z,579.5252858,10.6858664
364,671.54_579.5338m/z,579.5337602,11.1922665
365,497.67_579.5337m/z,579.5337345,8.29443359
366,641.2_580.5277m/z,580.5277392,10.6866751
367,656.46_580.531m/z,580.530951,10.9410667
368,671.33_580.5371m/z,580.5371298,11.18884185
369,671.16_581.54m/z,581.5400152,11.1860666
370,157.91_583.4243m/z,583.4243075,2.63176656
371,398.88_583.508m/z,583.508007,6.64791679
372,73.24_584.2619m/z,584.2618549,1.22071671
373,398.88_584.5111m/z,584.5111402,6.64808321
374,444.8_584.5755m/z,584.5755251,7.41330004
375,73.23_585.2704m/z,585.2704247,1.22054994
376,402.39_585.5232m/z,585.5232425,6.706525085
377,73.23_586.2734m/z,586.2734361,1.220574975
378,474.6_586.5911m/z,586.5911315,7.910016775
379,73.23_587.2764m/z,587.2763673,1.22044998
380,440.98_587.5391m/z,587.5390501,7.349624875
381,423.67_588.5708m/z,588.5707978,7.06116676
382,649.22_589.5185m/z,589.5184759,10.82028295
383,634.29_589.5172m/z,589.5172008,10.57143305
384,423.73_589.5739m/z,589.5739097,7.06223345
385,648.95_590.5216m/z,590.5215792,10.8158083
386,456.3_590.5868m/z,590.5868132,7.60494161
387,500.62_590.5859m/z,590.5859336,8.343708515
388,649.47_591.5322m/z,591.5322485,10.8244662
389,664.16_591.5342m/z,591.5342121,11.0692835
390,456.47_591.5897m/z,591.5897437,7.60780001
391,250.04_592.4688m/z,592.4688389,4.16741657
392,664.15_592.5373m/z,592.5372776,11.0692415
393,649.47_592.5363m/z,592.536282,10.8244662
394,459.66_592.592m/z,592.5919529,7.661058425
395,664.09_593.5418m/z,593.5418288,11.0681829
396,299.24_594.4847m/z,594.4846603,4.98726654
397,611.95_597.4864m/z,597.4864129,10.1992331
398,463.83_598.5913m/z,598.591303,7.730524775
399,279.66_599.4646m/z,599.4646022,4.66104984
400,636.28_599.5023m/z,599.5023462,10.6046333
401,305.0_599.5031m/z,599.5031003,5.08333349
402,376.67_599.5032m/z,599.5032424,6.27791643
403,418.3_599.5033m/z,599.5033399,6.97158337
404,625.62_600.5058m/z,600.5058334,10.4270668
405,610.48_600.5052m/z,600.505157,10.1747169
406,376.68_600.5062m/z,600.5062118,6.277958155
407,305.01_600.506m/z,600.506031,5.08346653
408,404.73_600.5708m/z,600.5707986,6.74555016
409,491.79_600.6065m/z,600.6065243,8.19646645
410,279.91_601.479m/z,601.4790493,4.66511679
411,627.0_601.5182m/z,601.5181812,10.44992495
412,385.66_601.5176m/z,601.5175734,6.4276166
413,315.09_601.5179m/z,601.5178845,5.25146675
414,447.64_601.5191m/z,601.519142,7.4605999
415,641.54_601.519m/z,601.518987,10.6922665
416,658.54_601.5186m/z,601.5186483,10.9756002
417,404.46_601.574m/z,601.573999,6.740941765
418,641.58_601.7574m/z,601.7573684,10.69294165
419,641.59_601.8956m/z,601.8956119,10.69313335
420,622.57_602.5215m/z,602.5215484,10.3762169
421,641.46_602.5223m/z,602.5222756,10.690917
422,658.57_602.5219m/z,602.5218992,10.9762335
423,447.76_602.5219m/z,602.5218552,7.46266651
424,315.32_602.5211m/z,602.5211286,5.25526667
425,385.66_602.5214m/z,602.521439,6.42759991
426,444.41_602.587m/z,602.5869742,7.40686679
427,486.74_602.5862m/z,602.5862383,8.11235046
428,627.48_603.5315m/z,603.5315385,10.4580336
429,643.23_603.533m/z,603.5329616,10.72054195
430,475.78_603.5347m/z,603.534716,7.92963314
431,345.19_603.5344m/z,603.5344479,5.7531333
432,444.11_603.5902m/z,603.5901969,7.401841645
433,486.84_603.5893m/z,603.5893054,8.114041805
434,628.01_604.5361m/z,604.5360706,10.4668918
435,475.91_604.5335m/z,604.5335239,7.93190002
436,643.12_604.5373m/z,604.5372951,10.7187085
437,657.26_604.5377m/z,604.5377378,10.9543667
438,672.81_604.5379m/z,604.5378617,11.2134666
439,418.53_604.538m/z,604.5380489,6.975491765
440,344.8_604.5377m/z,604.5377411,5.74661684
441,444.61_604.593m/z,604.5930217,7.41009998
442,479.66_604.602m/z,604.6019623,7.99434996
443,513.86_604.6022m/z,604.6022055,8.56436634
444,450.25_604.6008m/z,604.6008316,7.5041666
445,344.78_605.5402m/z,605.540202,5.74630833
446,643.3_605.5422m/z,605.542242,10.7217417
447,657.73_605.5438m/z,605.5438175,10.9621835
448,418.5_605.5407m/z,605.5407313,6.97495842
449,672.41_605.55m/z,605.5499703,11.2067833
450,373.8_605.5502m/z,605.5501809,6.23000002
451,447.66_605.5506m/z,605.5506223,7.4609499
452,686.13_605.5495m/z,605.5495288,11.4354415
453,503.43_605.5494m/z,605.549447,8.39058304
454,479.38_605.6056m/z,605.6056232,7.98974991
455,513.78_605.6052m/z,605.6052332,8.56308317
456,657.94_606.55m/z,606.5499599,10.9657497
457,672.48_606.5535m/z,606.5534559,11.20795825
458,373.79_606.5533m/z,606.5533393,6.22984171
459,447.74_606.5535m/z,606.5534737,7.46228313
460,513.87_606.6109m/z,606.6109152,8.5644331
461,484.96_606.6163m/z,606.6162922,8.082591535
462,386.77_607.5077m/z,607.5076754,6.446224925
463,658.38_607.5547m/z,607.5547111,10.9730167
464,373.83_607.5552m/z,607.5552397,6.23053336
465,672.39_607.5574m/z,607.557375,11.2065668
466,686.16_607.5636m/z,607.5636251,11.4359169
467,277.47_608.4639m/z,608.4639205,4.624524835
468,672.39_608.5617m/z,608.5617251,11.2065163
469,405.63_609.5239m/z,609.5239209,6.76056671
470,405.6_610.5275m/z,610.527501,6.76004982
471,438.83_611.5395m/z,611.5395003,7.31386662
472,438.82_612.5425m/z,612.5425471,7.313674925
473,483.26_612.6067m/z,612.6066593,8.05433369
474,513.02_612.6066m/z,612.6065986,8.55028343
475,325.18_613.5175m/z,613.5175095,5.41968346
476,424.03_614.5865m/z,614.5864712,7.06723356
477,509.59_614.622m/z,614.6219804,8.493133545
478,545.88_614.6221m/z,614.6221453,9.09798336
479,424.07_615.5897m/z,615.5896601,7.067850115
480,463.66_616.6028m/z,616.6027832,7.727650165
481,504.54_616.6017m/z,616.6016866,8.40904999
482,418.32_617.5135m/z,617.5134697,6.97198343
483,664.76_617.5491m/z,617.5490701,11.0792751
484,504.69_617.6044m/z,617.6044133,8.411541935
485,463.7_617.606m/z,617.6059908,7.728266715
486,463.83_618.6084m/z,618.6084393,7.73051667
487,491.55_618.6178m/z,618.6178418,8.19255829
488,530.05_618.6177m/z,618.6176942,8.834133625
489,530.13_619.6208m/z,619.620827,8.83543348
490,491.53_619.6213m/z,619.6213333,8.19218349
491,491.76_620.624m/z,620.624046,8.19603348
492,530.35_620.6252m/z,620.6252336,8.83909988
493,620.46_623.502m/z,623.501955,10.3409662
494,295.27_623.502m/z,623.5020285,4.9211998
495,364.63_623.5026m/z,623.5025537,6.077233315
496,365.29_624.506m/z,624.5060413,6.088208435
497,620.95_624.5051m/z,624.5051499,10.34924985
498,522.84_624.6276m/z,624.6275883,8.713941575
499,365.23_625.5091m/z,625.5090992,6.087141755
500,314.57_625.5176m/z,625.5175765,5.24290848
501,384.57_625.5183m/z,625.5183182,6.40951681
502,653.85_625.5176m/z,625.5175995,10.8974252
503,384.59_626.5216m/z,626.521603,6.40978336
504,636.06_626.5209m/z,626.5208553,10.60105845
505,315.54_626.5211m/z,626.5210549,5.259049895
506,412.67_626.5866m/z,626.5866024,6.877841715
507,645.36_627.5324m/z,627.5324162,10.7560663
508,417.69_627.5353m/z,627.5352967,6.961458445
509,345.25_627.5348m/z,627.534765,5.754133225
510,412.75_627.5892m/z,627.5892008,6.87909985
511,417.68_628.5384m/z,628.5384373,6.96140003
512,345.25_628.5381m/z,628.5380943,5.75414991
513,646.22_628.5363m/z,628.5362511,10.7704
514,486.45_628.6019m/z,628.6019163,8.10753298
515,345.19_629.5407m/z,629.5406607,5.75316668
516,417.77_629.5419m/z,629.5418778,6.96276665
517,657.81_629.5488m/z,629.5487957,10.9634752
518,356.91_629.5499m/z,629.5499347,5.94848347
519,372.52_629.5496m/z,629.5495799,6.208649875
520,429.66_629.5494m/z,629.5494287,7.16095018
521,486.4_629.6049m/z,629.604922,8.10665035
522,345.21_630.5435m/z,630.543537,5.753450155
523,356.87_630.5531m/z,630.5531329,5.94788313
524,658.44_630.5526m/z,630.5525903,10.97404145
525,372.51_630.5529m/z,630.5528713,6.20843315
526,404.46_630.6172m/z,630.6171741,6.741024975
527,513.38_630.618m/z,630.6180022,8.556316375
528,356.85_631.5557m/z,631.5556793,5.94744992
529,672.44_631.5652m/z,631.5651794,11.2073164
530,659.27_631.5626m/z,631.5626303,10.9878998
531,377.01_631.5647m/z,631.5646826,6.28342509
532,513.31_631.6211m/z,631.6210767,8.55511665
533,114.86_632.2625m/z,632.2624618,1.91436672
534,672.43_632.5687m/z,632.5687299,11.2071171
535,509.72_632.633m/z,632.6330243,8.49528313
536,545.89_632.6339m/z,632.633909,9.09824991
537,483.56_632.6296m/z,632.6295877,8.059350015
538,393.84_633.523m/z,633.5229889,6.563975095
539,672.32_633.5754m/z,633.5754417,11.2053499
540,686.26_633.5804m/z,633.5803619,11.4377337
541,483.7_633.6342m/z,633.6342178,8.061666965
