,ppm,Feature Name
3234,2.533906781,2.533906781
3235,2.531706341,2.531706341
3236,2.529505901,2.529505901
3237,2.527305461,2.527305461
3238,2.525105021,2.525105021
3239,2.522904581,2.522904581
3240,2.520704141,2.520704141
3241,2.518503701,2.518503701
3242,2.516303261,2.516303261
3243,2.514102821,2.514102821
3244,2.51190238,2.51190238
3245,2.50970194,2.50970194
3246,2.5075015,2.5075015
3247,2.50530106,2.50530106
3248,2.50310062,2.50310062
3249,2.50090018,2.50090018
3250,2.49869974,2.49869974
3251,2.4964993,2.4964993
3252,2.49429886,2.49429886
3253,2.49209842,2.49209842
3254,2.48989798,2.48989798
3255,2.48769754,2.48769754
3256,2.485497099,2.485497099
3257,2.483296659,2.483296659
3258,2.481096219,2.481096219
3259,2.478895779,2.478895779
3260,2.476695339,2.476695339
3261,2.474494899,2.474494899
3262,2.472294459,2.472294459
3263,2.470094019,2.470094019
3264,2.467893579,2.467893579
3265,2.465693139,2.465693139
3266,2.463492699,2.463492699
3267,2.461292258,2.461292258
3268,2.459091818,2.459091818
3269,2.456891378,2.456891378
3270,2.454690938,2.454690938
3271,2.452490498,2.452490498
3272,2.450290058,2.450290058
3273,2.448089618,2.448089618
3274,2.445889178,2.445889178
3275,2.443688738,2.443688738
3276,2.441488298,2.441488298
3277,2.439287858,2.439287858
3278,2.437087417,2.437087417
3279,2.434886977,2.434886977
3280,2.432686537,2.432686537
3281,2.430486097,2.430486097
3282,2.428285657,2.428285657
3283,2.426085217,2.426085217
3284,2.423884777,2.423884777
3285,2.421684337,2.421684337
3286,2.419483897,2.419483897
3287,2.417283457,2.417283457
3288,2.415083017,2.415083017
3289,2.412882577,2.412882577
3290,2.410682136,2.410682136
3291,2.408481696,2.408481696
3292,2.406281256,2.406281256
3293,2.404080816,2.404080816
3294,2.401880376,2.401880376
3295,2.399679936,2.399679936
3296,2.397479496,2.397479496
3297,2.395279056,2.395279056
3298,2.393078616,2.393078616
3299,2.390878176,2.390878176
3300,2.388677736,2.388677736
3301,2.386477295,2.386477295
3302,2.384276855,2.384276855
3303,2.382076415,2.382076415
3304,2.379875975,2.379875975
3305,2.377675535,2.377675535
3306,2.375475095,2.375475095
3307,2.373274655,2.373274655
3308,2.371074215,2.371074215
3309,2.368873775,2.368873775
3310,2.366673335,2.366673335
3311,2.364472895,2.364472895
3312,2.362272454,2.362272454
3313,2.360072014,2.360072014
3314,2.357871574,2.357871574
3315,2.355671134,2.355671134
3316,2.353470694,2.353470694
3317,2.351270254,2.351270254
3318,2.349069814,2.349069814
3319,2.346869374,2.346869374
3320,2.344668934,2.344668934
3321,2.342468494,2.342468494
3322,2.340268054,2.340268054
3323,2.338067614,2.338067614
3324,2.335867173,2.335867173
3325,2.333666733,2.333666733
3326,2.331466293,2.331466293
3327,2.329265853,2.329265853
3328,2.327065413,2.327065413
3329,2.324864973,2.324864973
3330,2.322664533,2.322664533
3331,2.320464093,2.320464093
3332,2.318263653,2.318263653
3333,2.316063213,2.316063213
3334,2.313862773,2.313862773
3335,2.311662332,2.311662332
3336,2.309461892,2.309461892
3337,2.307261452,2.307261452
3338,2.305061012,2.305061012
3339,2.302860572,2.302860572
3340,2.300660132,2.300660132
3341,2.298459692,2.298459692
3342,2.296259252,2.296259252
3343,2.294058812,2.294058812
3344,2.291858372,2.291858372
3345,2.289657932,2.289657932
3346,2.287457491,2.287457491
3347,2.285257051,2.285257051
3348,2.283056611,2.283056611
3349,2.280856171,2.280856171
3350,2.278655731,2.278655731
3351,2.276455291,2.276455291
3352,2.274254851,2.274254851
3353,2.272054411,2.272054411
3354,2.269853971,2.269853971
3355,2.267653531,2.267653531
3356,2.265453091,2.265453091
3357,2.263252651,2.263252651
3358,2.26105221,2.26105221
3359,2.25885177,2.25885177
3360,2.25665133,2.25665133
3361,2.25445089,2.25445089
3362,2.25225045,2.25225045
3363,2.25005001,2.25005001
3364,2.24784957,2.24784957
3365,2.24564913,2.24564913
3366,2.24344869,2.24344869
3367,2.24124825,2.24124825
3368,2.23904781,2.23904781
3369,2.236847369,2.236847369
3370,2.234646929,2.234646929
3371,2.232446489,2.232446489
3372,2.230246049,2.230246049
3373,2.228045609,2.228045609
3374,2.225845169,2.225845169
3375,2.223644729,2.223644729
3376,2.221444289,2.221444289
3377,2.219243849,2.219243849
3378,2.217043409,2.217043409
3379,2.214842969,2.214842969
3380,2.212642529,2.212642529
3381,2.210442088,2.210442088
3382,2.208241648,2.208241648
3383,2.206041208,2.206041208
3384,2.203840768,2.203840768
3385,2.201640328,2.201640328
3386,2.199439888,2.199439888
3387,2.197239448,2.197239448
3388,2.195039008,2.195039008
3389,2.192838568,2.192838568
3390,2.190638128,2.190638128
3391,2.188437688,2.188437688
3392,2.186237247,2.186237247
3393,2.184036807,2.184036807
3394,2.181836367,2.181836367
3395,2.179635927,2.179635927
3396,2.177435487,2.177435487
3397,2.175235047,2.175235047
3398,2.173034607,2.173034607
3399,2.170834167,2.170834167
3400,2.168633727,2.168633727
3401,2.166433287,2.166433287
3402,2.164232847,2.164232847
3403,2.162032406,2.162032406
3404,2.159831966,2.159831966
3405,2.157631526,2.157631526
3406,2.155431086,2.155431086
3407,2.153230646,2.153230646
3408,2.151030206,2.151030206
3409,2.148829766,2.148829766
3410,2.146629326,2.146629326
3411,2.144428886,2.144428886
3412,2.142228446,2.142228446
3413,2.140028006,2.140028006
3414,2.137827566,2.137827566
3415,2.135627125,2.135627125
3416,2.133426685,2.133426685
3417,2.131226245,2.131226245
